comment,author,date,num_likes
아이고 세상에ㅋㅋㅋㅋ큐ㅠㅠㅠㅜㅜㅠ 컷신도 있네 내가 미쳐 아 세상에!!!!!!!!!ㅋㅋㅋㅋㅋㅋ 너무 고퀄이야!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋ,@SoSo-wp5qz,2024-02-10T11:50:37Z,0
그..수은 될래나?,@user-kp7zb6vw2c,2024-02-09T12:49:50Z,0
라더&amp;잠뜰님 소개글 추천<br>라더:언데드 매지션 라더!<br>잠뜰:원소의 마법사 잠뜰!,@user-ez5ns8mz7i,2024-02-09T03:11:54Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1616"">26:56</a><br>어? 나돈데...?",@user-ez5ns8mz7i,2024-02-09T03:28:53Z,0
@@user-ez5ns8mz7i닌 걍 잼민이잖아.,@Dadaa622,2024-02-12T09:15:36Z,1
혹시 시리즈물인가요?뜰님 저 기대중...❤,@user-je8ut3ql4m,2024-02-09T00:28:27Z,0
아 잠뜰님 넘 기여우신거 아니에요? ㅜㅜㅋㅋ,@user-ig7ip3kq5k,2024-02-08T03:16:29Z,0
덕개님 ㅋㅋㅋㅋ,@user-dr1tq2hl4k,2024-02-07T19:40:02Z,0
언니 팬이에요!제가 지금 아빠계정이라😢,@user-de5su6mg8e,2024-02-07T04:52:53Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2560"">42:40</a>  귀엽네 마지막까지 ㅋㅋ",@user-tg7hw3en4e,2024-02-06T14:14:34Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2519"">41:59</a>  뭉쳐있는거 개귀욥네",@user-tg7hw3en4e,2024-02-06T14:13:56Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2472"">41:12</a>  😂",@user-tg7hw3en4e,2024-02-06T14:13:03Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2447"">40:47</a>  꼰대 덕개님",@user-tg7hw3en4e,2024-02-06T14:12:31Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2410"">40:10</a>  언제 왔노",@user-tg7hw3en4e,2024-02-06T14:11:42Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2080"">34:40</a>  진짜 헤맑게 괴수같애 개웃기네",@user-tg7hw3en4e,2024-02-06T14:06:07Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1948"">32:28</a>  개잘생겼네요",@user-tg7hw3en4e,2024-02-06T14:03:31Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1911"">31:51</a>  은근 개사기인거 같아 .",@user-tg7hw3en4e,2024-02-06T14:02:52Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1795"">29:55</a>  이와중에 아시는 똑똑한 잠뜰님",@user-tg7hw3en4e,2024-02-06T14:00:43Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1717"">28:37</a>  개귀욥네요 뜰님..",@user-tg7hw3en4e,2024-02-06T13:59:09Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1715"">28:35</a>  알려주는 착한 뜰님",@user-tg7hw3en4e,2024-02-06T13:58:43Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1665"">27:45</a>  그냥 뭔가 이방인에 나올꺼같은..",@user-tg7hw3en4e,2024-02-06T13:57:30Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1646"">27:26</a>  라더님 변신",@user-tg7hw3en4e,2024-02-06T13:55:48Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1616"">26:56</a>  와 둘이 잘맞는댜",@user-tg7hw3en4e,2024-02-06T13:55:13Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1601"">26:41</a>  라더님이랑 계약한 이유",@user-tg7hw3en4e,2024-02-06T13:54:18Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1573"">26:13</a>  두 마법소녀,소년에 만남",@user-tg7hw3en4e,2024-02-06T13:53:32Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1546"">25:46</a>  뜰님 너무 개귀욥네욬ㅋㅋㅋ",@user-tg7hw3en4e,2024-02-06T13:52:50Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1360"">22:40</a>  음 그냥 이쁜 눈나같은디?",@user-tg7hw3en4e,2024-02-06T13:31:24Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1332"">22:12</a>  변신!",@user-tg7hw3en4e,2024-02-06T13:29:53Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1227"">20:27</a>  이게 대학원생의 광기",@user-tg7hw3en4e,2024-02-06T13:28:04Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1094"">18:14</a>   아 킹받아❤",@user-tg7hw3en4e,2024-02-06T13:25:37Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=972"">16:12</a>  쪼매난게 떠다니는거 개귀욥네",@user-tg7hw3en4e,2024-02-06T13:13:59Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=967"">16:07</a>  히히 개킹받는데 개귀욥다",@user-tg7hw3en4e,2024-02-06T13:12:35Z,0
